ticker,name,weight,composite_score
301308,江波龙,0.03333333333333333,2.92165797090472
300308,中际旭创,0.03333333333333333,2.65585664613386
300502,新易盛,0.03333333333333333,2.1674789206455904
603986,兆易创新,0.03333333333333333,2.15443962380485
688256,寒武纪,0.03333333333333333,2.030896989053289
002558,巨人网络,0.03333333333333333,1.8300232155221419
002709,天赐材料,0.03333333333333333,1.8203350155607605
000657,中钨高新,0.03333333333333333,1.6754063392522822
600061,国投资本,0.03333333333333333,1.6149642147525014
000792,盐湖股份,0.03333333333333333,1.5316156886788848
688111,金山办公,0.03333333333333333,1.5307707743955947
002466,天齐锂业,0.03333333333333333,1.4844897255995229
688072,拓荆科技,0.03333333333333333,1.4720911251153959
600549,厦门钨业,0.03333333333333333,1.4708687043505486
002460,赣锋锂业,0.03333333333333333,1.4026224014142668
300394,天孚通信,0.03333333333333333,1.3661036808160296
000807,云铝股份,0.03333333333333333,1.3411750980597856
688183,生益电子,0.03333333333333333,1.3068741696983919
601872,招商轮船,0.03333333333333333,1.2738945486386333
000408,藏格矿业,0.03333333333333333,1.2361880253646542
605117,德业股份,0.03333333333333333,1.2273127424205414
600183,生益科技,0.03333333333333333,1.221477476139996
002384,东山精密,0.03333333333333333,1.204531466686963
688012,中微公司,0.03333333333333333,1.0830789709517716
002463,沪电股份,0.03333333333333333,1.0180545954586924
601138,工业富联,0.03333333333333333,0.9647810015044901
603993,洛阳钼业,0.03333333333333333,0.9167871326875356
000975,山金国际,0.03333333333333333,0.9012541771958578
300408,三环集团,0.03333333333333333,0.871225122337006
600489,中金黄金,0.03333333333333333,0.8637417148374172
