date,ticker,name,BP_z,EP_z,Rev1m_z,Mom12m_z,Vol60_z,forward_1d_return,forward_5d_return,forward_21d_return,industry,composite_eq,composite_ic
2023-12-15,WMT,沃尔玛,1.9311741389760553,1.9311741394086428,-1.3551243983707466,,-0.021887954888224422,,,,Consumer Staples,1.3098401579109173,1.3098401579109176
2023-12-15,MMM,3M公司,1.6009883328188075,1.6009883327805825,-1.108143284820046,,-0.029913949837397334,,,,Industrials,1.0850084750642084,1.0850084750642084
2023-12-15,GS,高盛,1.7541140687129009,1.754114068568328,-1.328378419643214,,1.2730044866088503,,,,Financials,0.8909005175788982,0.8909005175788981
2023-12-15,MSFT,微软,2.147213991753791,2.147213991549155,0.7334899558264218,,0.5242310171799718,,,,Information Technology,0.759176752574138,0.7591767525741381
2023-12-15,CAT,卡特彼勒,0.3850521599955039,0.385052160231181,-0.6985135735213418,,-1.335439195633653,,,,Industrials,0.70101427234542,0.7010142723454199
2023-12-15,AMGN,安进,0.7584312138194305,0.7584312137239718,0.513004515036668,,-1.7784611898993832,,,,Health Care,0.6955797756015294,0.6955797756015294
2023-12-15,DIS,迪士尼,0.3803252639191521,0.38032526331275635,-1.2404936716683999,,-0.2122018873461422,,,,Communication Services,0.5533365215616126,0.5533365215616126
2023-12-15,MCD,麦当劳,0.031262788964152584,0.031262788899011684,0.4132028104107492,,-1.6126129402248779,,,,Consumer Discretionary,0.31548392691932325,0.31548392691932325
2023-12-15,CRM,赛富时,-0.39006905278901544,-0.3900690529156011,-0.2989491351978015,,-1.2341888095617954,,,,Information Technology,0.1882499597637451,0.18824995976374506
2023-12-15,HD,家得宝,0.3644542395648697,0.3644542396411825,-0.6686609300652362,,1.2384639920992913,,,,Consumer Discretionary,0.039776354292999305,0.03977635429299929
