date,ticker,BP_z,EP_z,EpG_z,GPM_z,Rev1m_z,forward_1d_return,forward_5d_return,forward_21d_return,industry,name,composite_eq,composite_ic
2026-07-17,02319,0.24092170922413517,-0.9367772974158809,3.307110829989157,-0.01832247067988459,2.0859823268072666,,,,食物饮品,蒙牛乳业,0.9357830195849587,0.9357830195849586
2026-07-17,00101,1.920836147320188,-0.1300740420663487,0.0724326950161102,1.9403698990009157,0.6893867497087768,,,,地产,恒隆地产,0.8985902897959285,0.8985902897959285
2026-07-17,06160,,-0.7702830411444018,2.9276361880998114,1.9081925569352698,0.3860888857339224,,,,药品及生物科技,百济神州,0.8903269179249204,0.8903269179249204
2026-07-17,01801,-0.7467180183980967,-1.0331000746168095,2.9853255654825914,1.8404786424807515,1.022709857643869,,,,药品及生物科技,信达生物,0.8137391945184611,0.8137391945184611
2026-07-17,00836,0.8100641479135396,1.9889385137931626,0.06500413600486699,1.9645446971909726,-1.4638423897121942,,,,公用事业,华润电力,0.6729418210380694,0.6729418210380695
2026-07-17,09992,-0.6987446938951858,-0.16856510011394119,3.047617267238208,1.9637970091383208,-0.8373042229912754,,,,家庭电器及用品,泡泡玛特,0.6613600518752253,0.6613600518752253
2026-07-17,00175,-0.5633374416965596,1.3087368985222585,1.2906796318205485,0.349370518284771,0.5020539997123956,,,,汽车,吉利汽车,0.5775007213286828,0.5775007213286828
2026-07-17,00027,0.4183874436093241,0.17269987137553708,0.49349751538042314,0.532961849283079,1.2351869514263052,,,,旅游及消闲设施,银河娱乐,0.5705467262149337,0.5705467262149337
2026-07-17,01997,0.277392107719792,-2.9435801296081108,,2.6222576862110483,2.389047868250524,,,,地产,九龙仓置业,0.46902350651465075,0.4690235065146508
2026-07-17,00868,-0.05555012216142743,0.3715833204178723,-0.7157504758092315,0.5698484823971323,2.095092737416385,,,,工业工程,信义玻璃,0.45304478845214613,0.4530447884521462
2026-07-17,00267,0.7095173043132504,2.1385387804747684,0.3108959205812382,,-1.000810513028605,,,,综合企业,中信股份,0.43162829846813044,0.43162829846813044
2026-07-17,00066,1.4247888710273138,0.08040266484341167,-0.12981415043490885,0.5446466967139184,-0.00794958238100793,,,,旅游及消闲设施,港铁公司,0.38241489995374545,0.38241489995374545
2026-07-17,03988,1.3315419389607506,0.9508854270463551,0.021694806776073088,,-0.440293197511724,,,,银行,中国银行,0.37276579505429097,0.3727657950542909
2026-07-17,00939,1.3795976801327041,1.2113034566237841,-0.022789532293733348,,-0.7252489530316196,,,,银行,建设银行,0.3685725302862271,0.36857253028622705
2026-07-17,01113,0.6011034342397295,0.4879807298263503,-0.17268230827854136,0.39017848578432873,0.4745892878738963,,,,地产,长实集团,0.35623392588915265,0.3562339258891527
2026-07-17,01398,1.3531759725229657,1.012253984288935,-0.04205422772339891,,-0.5515609844866477,,,,银行,工商银行,0.3543629489203708,0.3543629489203708
2026-07-17,01211,0.23159754784771033,0.20715719452258685,0.41031144583682894,0.010341924851890522,0.7464534561200377,,,,汽车,比亚迪股份,0.3211723138358109,0.3211723138358109
2026-07-17,00316,1.0990348450960283,1.4424836383885702,-1.2511355997670182,-0.04566642634921086,0.18715918281863717,,,,工用运输,东方海外国际,0.28637512803740134,0.2863751280374014
2026-07-17,09988,1.2376119707873925,1.1973957536029078,-0.884234406445103,0.12002485277566213,-0.35377714676318117,,,,专业零售,阿里巴巴-W,0.26340420479153565,0.2634042047915357
2026-07-17,00762,,0.36088591647728646,0.10714630926499293,0.6134162603518335,0.11567165477678741,,,,电讯,中国联通,0.23942402817418004,0.23942402817418007
