date,equity
2024-01-02,1.0
2024-01-03,1.0
2024-01-04,1.0
2024-01-05,1.0
2024-01-08,1.0
2024-01-09,1.0
2024-01-10,1.0
2024-01-11,1.0
2024-01-12,1.0
2024-01-15,1.0
2024-01-16,1.0
2024-01-17,1.0
2024-01-18,1.0
2024-01-19,1.0
2024-01-22,1.0
2024-01-23,1.0
2024-01-24,1.0
2024-01-25,1.0
2024-01-26,1.0
2024-01-29,1.0
2024-01-30,1.0
2024-01-31,0.9819179913504518
2024-02-01,0.9836785031486868
2024-02-02,0.9722461609980828
2024-02-05,0.9808993136669097
2024-02-06,1.0293682508835824
2024-02-07,1.0472518058451734
2024-02-08,1.047428277692881
2024-02-19,1.0653383384964519
2024-02-20,1.0642278641182787
2024-02-21,1.07217628073613
2024-02-22,1.0750635557241572
2024-02-23,1.0762122325270138
2024-02-26,1.071872699522325
2024-02-27,1.0824846097533043
2024-02-28,1.0679039229065832
2024-02-29,1.0933838785341004
2024-03-01,1.0896991263456846
2024-03-04,1.0988645088968505
2024-03-05,1.107065538045034
2024-03-06,1.109810826784755
2024-03-07,1.1058126378143505
2024-03-08,1.1123394922974303
2024-03-11,1.1305588619354052
2024-03-12,1.1269677393810462
2024-03-13,1.1204538773547126
2024-03-14,1.123368562717902
2024-03-15,1.1265428489249099
2024-03-18,1.139184415471642
2024-03-19,1.133494110059231
2024-03-20,1.1329216865452156
2024-03-21,1.1289257612176753
2024-03-22,1.1203101896447005
2024-03-25,1.114143165318126
2024-03-26,1.1199295271622929
2024-03-27,1.1097041879755098
2024-03-28,1.1099519548783296
2024-03-29,1.1195054776269089
2024-04-01,1.1333219154420893
2024-04-02,1.1297131205532593
2024-04-03,1.1206140481979954
2024-04-08,1.1139299103724154
2024-04-09,1.117004300426488
2024-04-10,1.1117748922490083
2024-04-11,1.1137952743396626
2024-04-12,1.1044309527491065
2024-04-15,1.1309843242348856
2024-04-16,1.1207767997707525
2024-04-17,1.1306820698880031
2024-04-18,1.1265686851570411
2024-04-19,1.118811997239096
2024-04-22,1.1140482705660466
2024-04-23,1.1092604914362316
2024-04-24,1.1096401072402269
2024-04-25,1.1072918823893467
2024-04-26,1.1222485190103884
2024-04-29,1.1284301624423303
2024-04-30,1.1309618187804125
2024-05-06,1.1330451722170811
2024-05-07,1.1250222762305777
2024-05-08,1.126973591235272
2024-05-09,1.1293426756739757
2024-05-10,1.132684840849444
2024-05-13,1.1337311613437835
2024-05-14,1.1310812342308454
2024-05-15,1.1249726659973889
2024-05-16,1.1190949274459432
2024-05-17,1.1225915327479101
2024-05-20,1.1344080341687592
2024-05-21,1.1377789646872918
2024-05-22,1.1281529314318857
2024-05-23,1.1241244452381745
2024-05-24,1.1173813685625664
2024-05-27,1.1342032580011392
2024-05-28,1.1294900531141694
2024-05-29,1.131561360816321
2024-05-30,1.1252327695251394
2024-05-31,1.123797777077431
2024-06-03,1.128146784978704
2024-06-04,1.1303424269042763
2024-06-05,1.1274567601816579
2024-06-06,1.134240526246869
2024-06-07,1.1389789868695688
2024-06-11,1.1279231730461152
2024-06-12,1.135575485495876
2024-06-13,1.1315249502114049
2024-06-14,1.1324952686190304
2024-06-17,1.1208224375196694
2024-06-18,1.1247821608855142
2024-06-19,1.1285717436110934
2024-06-20,1.1312419640297255
2024-06-21,1.1260402195944068
2024-06-24,1.1243005051713584
2024-06-25,1.1199152364324283
2024-06-26,1.1183929225412994
2024-06-27,1.1180383875284643
2024-06-28,1.1295242967347456
2024-07-01,1.1525106151887665
2024-07-02,1.1587870715447353
2024-07-03,1.1497231169230417
2024-07-04,1.151394956816525
2024-07-05,1.1433604384242397
2024-07-08,1.1500319353098118
2024-07-09,1.1591058274699215
2024-07-10,1.1439939242455386
2024-07-11,1.1393216498214391
2024-07-12,1.1428545416952385
2024-07-15,1.154866822308782
2024-07-16,1.1531670898596644
2024-07-17,1.1422021372652902
2024-07-18,1.1548292081840463
2024-07-19,1.1498616396021555
2024-07-22,1.1373536870225514
2024-07-23,1.135354609006377
2024-07-24,1.1420719270106383
2024-07-25,1.1274375799919787
2024-07-26,1.1201052055895582
2024-07-29,1.1277197318500305
2024-07-30,1.114534643117262
2024-07-31,1.105477798570295
2024-08-01,1.1141970916346227
2024-08-02,1.1125034812443801
2024-08-05,1.0965625242710355
2024-08-06,1.0888832855856423
2024-08-07,1.0965554974166805
2024-08-08,1.0914309078118383
2024-08-09,1.0903309634696274
2024-08-12,1.0929440299024844
2024-08-13,1.1010826385865256
2024-08-14,1.1070597745544708
2024-08-15,1.1180540881803827
2024-08-16,1.1229994254761702
2024-08-19,1.1356947539337736
2024-08-20,1.132745826734312
2024-08-21,1.126997667076674
2024-08-22,1.1398959643149749
2024-08-23,1.1341862521316162
2024-08-26,1.1321644681349476
2024-08-27,1.135887048617037
2024-08-28,1.131377259348196
2024-08-29,1.098816722388944
2024-08-30,1.0777441232777685
2024-09-02,1.0897372093690638
2024-09-03,1.070617659525492
2024-09-04,1.0704508367481074
2024-09-05,1.0689128343818932
2024-09-06,1.0668020852932873
2024-09-09,1.0578037941301706
2024-09-10,1.0633908940089878
2024-09-11,1.0291734940849713
2024-09-12,1.0317886833574887
2024-09-13,1.0320554781408562
2024-09-18,1.0396140337683697
2024-09-19,1.0376883444354494
2024-09-20,1.0436764073212816
2024-09-23,1.0600530937150696
2024-09-24,1.0950763892229598
