date,value
2021-01-04,1.0094633467531036
2021-01-05,1.023193105856893
2021-01-06,1.016131870538973
2021-01-07,1.014145116111146
2021-01-08,1.0116473533016153
2021-01-11,1.030173629293045
2021-01-12,1.0405464238765805
2021-01-13,1.0447000799351696
2021-01-14,1.0367923078849903
2021-01-15,1.045604556071658
2021-01-18,1.0711565092542226
2021-01-19,1.08810803591624
2021-01-20,1.0854647026861897
2021-01-21,1.0462839935436417
2021-01-22,1.0518197718265414
2021-01-25,1.036519883721341
2021-01-26,1.0336121339972448
2021-01-27,1.005125558091186
2021-01-28,0.996048028763301
2021-01-29,1.0150032599423429
2021-02-01,1.023156488971303
2021-02-02,1.0285580398376422
2021-02-03,1.018059270461157
2021-02-04,1.0189377258739702
2021-02-05,1.0345820738148552
2021-02-08,1.0410255914468696
2021-02-09,1.0494868797408736
2021-02-10,1.0556834962459598
2021-02-11,1.0877323117395352
2021-02-16,1.0954045393820555
2021-02-17,1.0820795417740574
2021-02-18,1.0861979206112526
2021-02-19,1.065581323868293
2021-02-22,1.0869853875576636
2021-02-23,1.0631004172656668
2021-02-24,1.075452409889173
2021-02-25,1.0454679111946732
2021-02-26,1.0594160223186202
2021-03-01,1.0558604844360342
2021-03-02,1.0815319407081543
2021-03-03,1.0539779659349813
2021-03-04,1.0409156937160076
2021-03-05,1.0126413780012749
2021-03-08,1.0144097946459085
2021-03-09,1.0283645289073158
2021-03-10,1.0653710698721974
2021-03-11,1.0557879683072835
2021-03-12,1.0486666325969796
2021-03-15,1.0599148859845144
2021-03-16,1.0640109925055263
2021-03-17,1.0711225342945196
2021-03-18,1.0621921474290552
2021-03-19,1.0689321597173933
2021-03-22,1.054578116097606
2021-03-23,1.0237193540674228
2021-03-24,1.0339899519973206
2021-03-25,1.0516578808109673
2021-03-26,1.0522898315497047
2021-03-29,1.081543247790464
2021-03-30,1.0621401874720235
2021-03-31,1.0942976189352744
2021-04-01,1.079338794993493
2021-04-07,1.0947880852885143
2021-04-08,1.0771432553279838
2021-04-09,1.066857696256723
2021-04-12,1.073943853542376
2021-04-13,1.0902425329487502
2021-04-14,1.0916917847771395
2021-04-15,1.1048888118416935
2021-04-16,1.1087961896909022
2021-04-19,1.1128995064306595
2021-04-20,1.1009674163520708
2021-04-21,1.1041624289977927
2021-04-22,1.1143656243019016
2021-04-23,1.10666181147061
2021-04-26,1.1078931702313104
2021-04-27,1.113441354586969
2021-04-28,1.1234415692280093
2021-04-29,1.1090963252687247
2021-04-30,1.0974343895164078
2021-05-03,1.106040204901018
2021-05-04,1.105444911809551
2021-05-05,1.117849859806547
2021-05-06,1.113481116508633
