ticker,name,industry,total_mv,float_mv,pe_ttm,pb,total_shares,float_shares,is_hkgt_sh,is_hkgt_sz,is_hkgt
01928,金沙中国有限公司,旅游及消闲设施,107000000000.0,107000000000.0,15.34,9.814,8093000000.000001,8093000000.000001,True,True,True
01929,周大福,专业零售,112700000000.0,112700000000.0,3.13,3.638,9866000000.0,9866000000.0,True,True,True
01997,九龙仓置业,地产,68800000000.0,68800000000.0,-16.16,0.379,3036000000.0,3036000000.0,True,True,True
02015,理想汽车-W,汽车,97880000000.0,81290000000.0,-9.44,1.233,2094000000.0,1739000000.0,True,True,True
02020,安踏体育,纺织及服饰,200200000000.0,200200000000.0,13.31,2.749,2797000000.0,2797000000.0,True,True,True
02057,中通快递-W,工用运输,140900000000.0,103200000000.0,14.68,2.003,769900000.0,563800000.0,True,True,True
02269,药明生物,药品及生物科技,153600000000.0,153600000000.0,28.27,2.937,4144000000.0,4144000000.0,True,True,True
02313,申洲国际,纺织及服饰,65070000000.00001,65070000000.00001,10.09,1.568,1503000000.0,1503000000.0,True,True,True
02318,中国平安,保险,961500000000.0,395500000000.0,8.48,0.834,18110000000.0,7448000000.0,True,True,True
02319,蒙牛乳业,食物饮品,67570000000.00001,67570000000.00001,39.49,1.506,3876000000.0,3876000000.0,True,True,True
02331,李宁,纺织及服饰,36990000000.0,36990000000.0,11.38,1.209,2585000000.0,2585000000.0,True,True,True
02359,药明康德,药品及生物科技,441600000000.0,73060000000.0,20.96,4.629,2964000000.0,490300000.0,True,True,True
02382,舜宇光学科技,工业工程,60800000000.0,60800000000.0,11.84,1.884,1079000000.0,1079000000.0,True,True,True
02388,中银香港,银行,480000000000.0,480000000000.0,11.96,1.339,10570000000.0,10570000000.0,True,True,True
02600,中国铝业,一般金属及矿石,129300000000.0,29740000000.0,5.17,1.416,17150000000.0,3944000000.0,True,True,True
02618,京东物流,工用支援,83400000000.0,83400000000.0,20.92,1.378,6677000000.0,6677000000.0,True,True,True
02628,中国人寿,保险,820200000000.0,215900000000.0,9.28,1.211,28260000000.000004,7441000000.0,True,True,True
02688,新奥能源,公用事业,46840000000.0,46840000000.0,7.17,0.885,1132000000.0,1132000000.0,True,True,True
02899,紫金矿业,黄金及贵金属,780200000000.0,175700000000.0,8.58,3.492,26590000000.0,5989000000.0,True,True,True
03690,美团-W,专业零售,485300000000.0,439800000000.0,-15.69,2.858,6175000000.0,5596000000.0,True,True,True
03692,翰森制药,药品及生物科技,188700000000.0,188700000000.0,30.68,4.82,6064000000.0,6064000000.0,True,True,True
03750,宁德时代,工业工程,2940000000000.0,138500000000.0,31.25,7.255,4627000000.0,218300000.0,True,True,True
03968,招商银行,银行,1130000000000.0,206400000000.0,6.61,0.884,25220000000.0,4591000000.0,True,True,True
03988,中国银行,银行,1620000000000.0,419800000000.0,6.3,0.522,322200000000.0,83620000000.0,True,True,True
03993,洛阳钼业,一般金属及矿石,313400000000.0,57629999999.99999,8.92,3.114,21390000000.0,3933000000.0,True,True,True
06160,百济神州,药品及生物科技,280700000000.0,259700000000.0,39.38,8.271,1541000000.0,1426000000.0,True,True,True
06181,老铺黄金,纺织及服饰,67300000000.0,54660000000.0,12.49,5.479,176700000.0,143500000.0,True,True,True
06618,京东健康,药品及生物科技,116900000000.0,116900000000.0,19.64,1.757,3211000000.0,3211000000.0,True,True,True
06690,海尔智家,家庭电器及用品,185300000000.0,56390000000.0,8.79,1.307,9378000000.0,2854000000.0,True,True,True
06862,海底捞,旅游及消闲设施,60700000000.0,60700000000.0,13.54,5.475,5574000000.0,5574000000.0,True,True,True
09618,京东集团-SW,专业零售,304100000000.0,269400000000.0,13.16,1.24,2818000000.0,2497000000.0,False,False,False
09633,农夫山泉,食物饮品,452600000000.0,202600000000.0,25.76,10.356,11250000000.0,5035000000.0,True,True,True
09888,百度集团-SW,媒体及娱乐,311900000000.0,251900000000.0,19.99,1.024,2722000000.0,2198000000.0,False,False,False
09901,新东方-S,支援服务,60240000000.0,4209000000.000001,18.64,1.884,1580000000.0,110400000.0,False,False,False
09961,携程集团-S,旅游及消闲设施,231200000000.0,203400000000.0,20.43,1.236,715900000.0,629700000.0,False,False,False
09988,阿里巴巴-W,专业零售,2070000000000.0,2070000000000.0,4.42,1.712,19210000000.0,19210000000.0,True,True,True
09992,泡泡玛特,家庭电器及用品,200300000000.0,200300000000.0,14.16,8.121,1332000000.0,1332000000.0,True,True,True
09999,网易,软件服务,683500000000.0,51110000000.0,14.13,3.664,3209000000.0000005,240000000.0,True,True,True
