ticker,name,source,in_sh,in_sz
00525,广深铁路股份,sh,True,True
00537,普源精电,sh,True,True
00546,阜丰集团,sh,True,True
00548,深圳高速公路股份,sh,True,True
00551,裕元集团,sh,True,True
00552,中国通信服务,sh,True,True
00553,南京熊猫电子股份,sh,True,True
00564,中创智领,sh,True,True
00568,山东墨龙,sh,True,True
00570,中国中药,sh,True,True
00576,浙江沪杭甬,sh,True,True
00586,海螺创业,sh,True,True
00588,北京北辰实业股份,sh,True,True
00590,六福集团,sh,True,True
00598,中国外运,sh,True,True
00604,深圳控股,sh,True,True
00631,三一国际,sh,True,True
00636,KLN,sh,True,True
00638,广和通,sh,True,True
00639,首钢资源,sh,True,True
00656,复星国际,sh,True,True
00659,周大福创建,sh,True,True
00666,瑞浦兰钧,sh,True,True
00667,中国东方教育,sh,True,True
00669,创科实业,sh,True,True
00670,中国东方航空股份,sh,True,True
00683,嘉里建设,sh,True,True
00688,中国海外发展,sh,True,True
00696,中国民航信息网络,sh,True,True
00697,首程控股,sh,True,True
00699,均胜电子,sh,True,True
00700,腾讯控股,sh,True,True
00719,山东新华制药股份,sh,True,True
00728,中国电信,sh,True,True
00751,创维集团,sh,True,True
00753,中国国航,sh,True,True
00754,合生创展集团,sh,True,True
00762,中国联通,sh,True,True
00763,中兴通讯,sh,True,True
00772,阅文集团,sh,True,True
00780,同程旅行,sh,True,True
00788,中国铁塔,sh,True,True
00800,文远知行-W,sh,True,True
00811,新华文轩,sh,True,True
00817,中国金茂,sh,True,True
00819,天能动力,sh,True,True
00826,天工国际,sh,True,True
00836,华润电力,sh,True,True
00839,中教控股,sh,True,True
00853,微创医疗,sh,True,True
00855,中国水务,sh,True,True
00856,伟仕佳杰,sh,True,True
00857,中国石油股份,sh,True,True
00867,康哲药业,sh,True,True
00868,信义玻璃,sh,True,True
00874,白云山,sh,True,True
00880,澳博控股,sh,True,True
00881,中升控股,sh,True,True
00883,中国海洋石油,sh,True,True
00895,东江环保,sh,True,True
00902,华能国际电力股份,sh,True,True
00909,明源云,sh,True,True
00914,海螺水泥,sh,True,True
00916,龙源电力,sh,True,True
00917,趣致集团,sh,True,True
00921,海信家电,sh,True,True
00934,中石化冠德,sh,True,True
00939,建设银行,sh,True,True
00941,中国移动,sh,True,True
00956,新天绿色能源,sh,True,True
00960,龙湖集团,sh,True,True
00966,中国太平,sh,True,True
00968,信义光能,sh,True,True
00975,MONGOL,sh,True,True
00981,中芯国际,sh,True,True
00990,至源控股,sh,True,True
00991,大唐发电,sh,True,True
00992,联想集团,sh,True,True
00995,安徽皖通高速公路,sh,True,True
00998,中信银行,sh,True,True
